"Title","Authors"
"Metaformer is actually what you need for vision","W Yu, M Luo, P Zhou, C Si, Y Zhou - Proceedings of the , 2022 - openaccess.thecvf.com"
"Smoothquant: Accurate and efficient post-training quantization for large language models","G Xiao, J Lin, M Seznec, H Wu - International , 2023 - proceedings.mlr.press"
"Tune-a-video: One-shot tuning of image diffusion models for text-to-video generation","JZ Wu, Y Ge, X Wang, SW Lei, Y Gu - Proceedings of the , 2023 - openaccess.thecvf.com"
"Flava: A foundational language and vision alignment model","A Singh, R Hu, V Goswami - Proceedings of the , 2022 - openaccess.thecvf.com"
"Are transformers effective for time series forecasting?","A Zeng, M Chen, L Zhang, Q Xu -  of the AAAI conference on artificial , 2023 - ojs.aaai.org"
"Learning to prompt for vision-language models","K Zhou, J Yang, CC Loy, Z Liu - International Journal of Computer Vision, 2022 - Springer"
"Swinir: Image restoration using swin transformer","J Liang, J Cao, G Sun, K Zhang - Proceedings of the , 2021 - openaccess.thecvf.com"
"Vector quantized diffusion model for text-to-image synthesis","S Gu, D Chen, J Bao, F Wen, B Zhang - Proceedings of the , 2022 - openaccess.thecvf.com"
"TPH-YOLOv5: Improved YOLOv5 based on transformer prediction head for object detection on drone-captured scenarios","X Zhu, S Lyu, X Wang, Q Zhao - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Clip-adapter: Better vision-language models with feature adapters","P Gao, S Geng, R Zhang, T Ma, R Fang - International Journal of , 2023 - Springer"
"Inception transformer","C Si, W Yu, P Zhou, Y Zhou - Advances in Neural , 2022 - proceedings.neurips.cc"
"Do vision transformers see like convolutional neural networks?","M Raghu, T Unterthiner, S Kornblith - Advances in , 2021 - proceedings.neurips.cc"
"On the opportunities and risks of foundation models","R Bommasani, DA Hudson, E Adeli, R Altman - arXiv preprint arXiv , 2021 - arxiv.org"
"Fedformer: Frequency enhanced decomposed transformer for long-term series forecasting","T Zhou, Z Ma, Q Wen, X Wang -  on Machine Learning, 2022 - proceedings.mlr.press"
"Petr: Position embedding transformation for multi-view 3d object detection","Y Liu, T Wang, X Zhang, J Sun - European Conference on Computer , 2022 - Springer"
"[HTML][HTML] Visual attention network","MH Guo, CZ Lu, ZN Liu, MM Cheng, SM Hu - Computational Visual Media, 2023 - Springer"
"Make-a-scene: Scene-based text-to-image generation with human priors","O Gafni, A Polyak, O Ashual, S Sheynin -  on Computer Vision, 2022 - Springer"
"Transfusion: Robust lidar-camera fusion for 3d object detection with transformers","X Bai, Z Hu, X Zhu, Q Huang, Y Chen - Proceedings of the , 2022 - openaccess.thecvf.com"
"Pre-train, prompt, and predict: A systematic survey of prompting methods in natural language processing","P Liu, W Yuan, J Fu, Z Jiang, H Hayashi - ACM Computing , 2023 - dl.acm.org"
"Florence: A new foundation model for computer vision","L Yuan, D Chen, YL Chen, N Codella, X Dai - arXiv preprint arXiv , 2021 - arxiv.org"
"Palette: Image-to-image diffusion models","C Saharia, W Chan, H Chang, C Lee, J Ho - ACM SIGGRAPH 2022 , 2022 - dl.acm.org"
"Lit: Zero-shot transfer with locked-image text tuning","X Zhai, X Wang, B Mustafa, A Steiner - Proceedings of the , 2022 - openaccess.thecvf.com"
"Robust deep learning–based protein sequence design using ProteinMPNN","J Dauparas, I Anishchenko, N Bennett, H Bai - Science, 2022 - science.org"
"Dino: Detr with improved denoising anchor boxes for end-to-end object detection","H Zhang, F Li, S Liu, L Zhang, H Su, J Zhu - arXiv preprint arXiv , 2022 - arxiv.org"
"[HTML][HTML] Highly accurate protein structure prediction with AlphaFold","J Jumper, R Evans, A Pritzel, T Green, M Figurnov - Nature, 2021 - nature.com"
"Point-bert: Pre-training 3d point cloud transformers with masked point modeling","X Yu, L Tang, Y Rao, T Huang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Eva: Exploring the limits of masked visual representation learning at scale","Y Fang, W Wang, B Xie, Q Sun, L Wu - Proceedings of the , 2023 - openaccess.thecvf.com"
"Per-pixel classification is not all you need for semantic segmentation","B Cheng, A Schwing, A Kirillov - Advances in Neural , 2021 - proceedings.neurips.cc"
"Using deepspeed and megatron to train megatron-turing nlg 530b, a large-scale generative language model","S Smith, M Patwary, B Norick, P LeGresley - arXiv preprint arXiv , 2022 - arxiv.org"
"Dn-detr: Accelerate detr training by introducing query denoising","F Li, H Zhang, S Liu, J Guo, LM Ni - Proceedings of the , 2022 - openaccess.thecvf.com"
"Blended diffusion for text-driven editing of natural images","O Avrahami, D Lischinski - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"An end-to-end transformer model for 3d object detection","I Misra, R Girdhar, A Joulin - Proceedings of the IEEE/CVF , 2021 - openaccess.thecvf.com"
"Ego4d: Around the world in 3,000 hours of egocentric video","K Grauman, A Westbury, E Byrne - Proceedings of the , 2022 - openaccess.thecvf.com"
"Early convolutions help transformers see better","T Xiao, M Singh, E Mintun, T Darrell - Advances in neural , 2021 - proceedings.neurips.cc"
"Denseclip: Language-guided dense prediction with context-aware prompting","Y Rao, W Zhao, G Chen, Y Tang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Artificial intelligence in histopathology: enhancing cancer research and clinical oncology","A Shmatko, N Ghaffari Laleh, M Gerstung, JN Kather - Nature cancer, 2022 - nature.com"
"Beit: Bert pre-training of image transformers","H Bao, L Dong, S Piao, F Wei - arXiv preprint arXiv:2106.08254, 2021 - arxiv.org"
"Accurate prediction of protein structures and interactions using a three-track neural network","M Baek, F DiMaio, I Anishchenko, J Dauparas - Science, 2021 - science.org"
"[HTML][HTML] Pvt v2: Improved baselines with pyramid vision transformer","W Wang, E Xie, X Li, DP Fan, K Song, D Liang - Computational Visual , 2022 - Springer"
"Video swin transformer","Z Liu, J Ning, Y Cao, Y Wei, Z Zhang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Internimage: Exploring large-scale vision foundation models with deformable convolutions","W Wang, J Dai, Z Chen, Z Huang, Z Li - Proceedings of the , 2023 - openaccess.thecvf.com"
"Autoformer: Decomposition transformers with auto-correlation for long-term series forecasting","H Wu, J Xu, J Wang, M Long - Advances in Neural , 2021 - proceedings.neurips.cc"
"Coatnet: Marrying convolution and attention for all data sizes","Z Dai, H Liu, QV Le, M Tan - Advances in neural information , 2021 - proceedings.neurips.cc"
"[HTML][HTML] Large language models encode clinical knowledge","K Singhal, S Azizi, T Tu, SS Mahdavi, J Wei, HW Chung - Nature, 2023 - nature.com"
"Groupvit: Semantic segmentation emerges from text supervision","J Xu, S De Mello, S Liu, W Byeon - Proceedings of the , 2022 - openaccess.thecvf.com"
"Lora: Low-rank adaptation of large language models","EJ Hu, Y Shen, P Wallis, Z Allen-Zhu, Y Li - arXiv preprint arXiv , 2021 - arxiv.org"
"Cswin transformer: A general vision transformer backbone with cross-shaped windows","X Dong, J Bao, D Chen, W Zhang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Maxvit: Multi-axis vision transformer","Z Tu, H Talebi, H Zhang, F Yang, P Milanfar - European conference on , 2022 - Springer"
"Do transformers really perform badly for graph representation?","C Ying, T Cai, S Luo, S Zheng, G Ke - Advances in , 2021 - proceedings.neurips.cc"
"Uformer: A general u-shaped transformer for image restoration","Z Wang, X Cun, J Bao, W Zhou - Proceedings of the , 2022 - openaccess.thecvf.com"
"Scaling vision transformers","X Zhai, A Kolesnikov, N Houlsby - Proceedings of the , 2022 - openaccess.thecvf.com"
"Zero-shot text-guided object generation with dream fields","A Jain, B Mildenhall, JT Barron - Proceedings of the , 2022 - openaccess.thecvf.com"
"SegFormer: Simple and efficient design for semantic segmentation with transformers","E Xie, W Wang, Z Yu, A Anandkumar - Advances in , 2021 - proceedings.neurips.cc"
"Decision transformer: Reinforcement learning via sequence modeling","L Chen, K Lu, A Rajeswaran, K Lee - Advances in neural , 2021 - proceedings.neurips.cc"
"[HTML][HTML] A survey of transformers","T Lin, Y Wang, X Liu, X Qiu - AI Open, 2022 - Elsevier"
"Scientific discovery in the age of artificial intelligence","H Wang, T Fu, Y Du, W Gao, K Huang, Z Liu - Nature, 2023 - nature.com"
"An empirical study of training end-to-end vision-and-language transformers","ZY Dou, Y Xu, Z Gan, J Wang, S Wang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Obtaining genetics insights from deep learning via explainable artificial intelligence","G Novakovsky, N Dexter, MW Libbrecht - Nature Reviews , 2023 - nature.com"
"Few-shot parameter-efficient fine-tuning is better and cheaper than in-context learning","H Liu, D Tam, M Muqeeth, J Mohta - Advances in , 2022 - proceedings.neurips.cc"
"Semi-supervised semantic segmentation with cross pseudo supervision","X Chen, Y Yuan, G Zeng - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Quantum advantage in learning from experiments","HY Huang, M Broughton, J Cotler, S Chen, J Li - Science, 2022 - science.org"
"StyleGAN-NADA: CLIP-guided domain adaptation of image generators","R Gal, O Patashnik, H Maron, AH Bermano - ACM Transactions on , 2022 - dl.acm.org"
"Language models as zero-shot planners: Extracting actionable knowledge for embodied agents","W Huang, P Abbeel, D Pathak -  on Machine Learning, 2022 - proceedings.mlr.press"
"Maxim: Multi-axis mlp for image processing","Z Tu, H Talebi, H Zhang, F Yang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Masked siamese networks for label-efficient learning","M Assran, M Caron, I Misra, P Bojanowski -  on Computer Vision, 2022 - Springer"
"Swin-unet: Unet-like pure transformer for medical image segmentation","H Cao, Y Wang, J Chen, D Jiang, X Zhang - European conference on , 2022 - Springer"
"Prompt-to-prompt image editing with cross attention control","A Hertz, R Mokady, J Tenenbaum, K Aberman - arXiv preprint arXiv , 2022 - arxiv.org"
"Diffusion models beat gans on image synthesis","P Dhariwal, A Nichol - Advances in neural information , 2021 - proceedings.neurips.cc"
"Segmenter: Transformer for semantic segmentation","R Strudel, R Garcia, I Laptev - Proceedings of the , 2021 - openaccess.thecvf.com"
"Masked autoencoders for point cloud self-supervised learning","Y Pang, W Wang, FEH Tay, W Liu, Y Tian - European conference on , 2022 - Springer"
"Multi-concept customization of text-to-image diffusion","N Kumari, B Zhang, R Zhang - Proceedings of the , 2023 - openaccess.thecvf.com"
"A comprehensive survey on graph anomaly detection with deep learning","X Ma, J Wu, S Xue, J Yang, C Zhou -  on Knowledge and , 2021 - ieeexplore.ieee.org"
"Conditional detr for fast training convergence","D Meng, X Chen, Z Fan, G Zeng, H Li - Proceedings of the , 2021 - openaccess.thecvf.com"
"Offline reinforcement learning as one big sequence modeling problem","M Janner, Q Li, S Levine - Advances in neural information , 2021 - proceedings.neurips.cc"
"Mlp-mixer: An all-mlp architecture for vision","IO Tolstikhin, N Houlsby, A Kolesnikov - Advances in neural , 2021 - proceedings.neurips.cc"
"Vlmo: Unified vision-language pre-training with mixture-of-modality-experts","H Bao, W Wang, L Dong, Q Liu - Advances in , 2022 - proceedings.neurips.cc"
"Self-supervised learning in medicine and healthcare","R Krishnan, P Rajpurkar, EJ Topol - Nature Biomedical Engineering, 2022 - nature.com"
"Video pretraining (vpt): Learning to act by watching unlabeled online videos","B Baker, I Akkaya, P Zhokov - Advances in , 2022 - proceedings.neurips.cc"
"Conditional variational autoencoder with adversarial learning for end-to-end text-to-speech","J Kim, J Kong, J Son - International Conference on Machine , 2021 - proceedings.mlr.press"
"Emerging properties in self-supervised vision transformers","M Caron, H Touvron, I Misra, H Jégou - Proceedings of the , 2021 - openaccess.thecvf.com"
"Recent advances in natural language processing via large pre-trained language models: A survey","B Min, H Ross, E Sulem, APB Veyseh - ACM Computing , 2023 - dl.acm.org"
"SwinFusion: Cross-domain long-range learning for general image fusion via swin transformer","J Ma, L Tang, F Fan, J Huang, X Mei - IEEE/CAA Journal of , 2022 - ieeexplore.ieee.org"
"Intriguing properties of vision transformers","MM Naseer, K Ranasinghe, SH Khan - Advances in , 2021 - proceedings.neurips.cc"
"Flashattention: Fast and memory-efficient exact attention with io-awareness","T Dao, D Fu, S Ermon, A Rudra - Advances in Neural , 2022 - proceedings.neurips.cc"
"Simvlm: Simple visual language model pretraining with weak supervision","Z Wang, J Yu, AW Yu, Z Dai, Y Tsvetkov - arXiv preprint arXiv , 2021 - arxiv.org"
"Vision transformer with deformable attention","Z Xia, X Pan, S Song, LE Li - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"Multimodal few-shot learning with frozen language models","M Tsimpoukelli, JL Menick, S Cabi - Advances in , 2021 - proceedings.neurips.cc"
"How attentive are graph attention networks?","S Brody, U Alon, E Yahav - arXiv preprint arXiv:2105.14491, 2021 - arxiv.org"
"Twins: Revisiting the design of spatial attention in vision transformers","X Chu, Z Tian, Y Wang, B Zhang - Advances in , 2021 - proceedings.neurips.cc"
"Simcse: Simple contrastive learning of sentence embeddings","T Gao, X Yao, D Chen - arXiv preprint arXiv:2104.08821, 2021 - arxiv.org"
"Diffusion models in vision: A survey","FA Croitoru, V Hondru, RT Ionescu - IEEE Transactions on , 2023 - ieeexplore.ieee.org"
"The power of scale for parameter-efficient prompt tuning","B Lester, R Al-Rfou, N Constant - arXiv preprint arXiv:2104.08691, 2021 - arxiv.org"
"Pay attention to mlps","H Liu, Z Dai, D So, QV Le - Advances in Neural Information , 2021 - proceedings.neurips.cc"
"Voxel transformer for 3d object detection","J Mao, Y Xue, M Niu, H Bai, J Feng - Proceedings of the , 2021 - openaccess.thecvf.com"
"Cogview: Mastering text-to-image generation via transformers","M Ding, Z Yang, W Hong, W Zheng - Advances in , 2021 - proceedings.neurips.cc"
"Transformers in medical imaging: A survey","F Shamshad, S Khan, SW Zamir, MH Khan - Medical Image , 2023 - Elsevier"
"Cmt: Convolutional neural networks meet vision transformers","J Guo, K Han, H Wu, Y Tang, X Chen - Proceedings of the , 2022 - openaccess.thecvf.com"
"Scaling vision transformers to gigapixel images via hierarchical self-supervised learning","RJ Chen, C Chen, Y Li, TY Chen - Proceedings of the , 2022 - openaccess.thecvf.com"
"Mdetr-modulated detection for end-to-end multi-modal understanding","A Kamath, M Singh, Y LeCun - Proceedings of the , 2021 - openaccess.thecvf.com"
"Winoground: Probing vision and language models for visio-linguistic compositionality","T Thrush, R Jiang, M Bartolo, A Singh - Proceedings of the , 2022 - openaccess.thecvf.com"
"Multiscale vision transformers","H Fan, B Xiong, K Mangalam, Y Li - Proceedings of the , 2021 - openaccess.thecvf.com"
"Codet5: Identifier-aware unified pre-trained encoder-decoder models for code understanding and generation","Y Wang, W Wang, S Joty, SCH Hoi - arXiv preprint arXiv:2109.00859, 2021 - arxiv.org"
"Perceiver-actor: A multi-task transformer for robotic manipulation","M Shridhar, L Manuelli, D Fox - Conference on Robot , 2023 - proceedings.mlr.press"
"Vatt: Transformers for multimodal self-supervised learning from raw video, audio and text","H Akbari, L Yuan, R Qian - Advances in , 2021 - proceedings.neurips.cc"
"Daformer: Improving network architectures and training strategies for domain-adaptive semantic segmentation","L Hoyer, D Dai, L Van Gool - Proceedings of the IEEE/CVF , 2022 - openaccess.thecvf.com"
"XLS-R: Self-supervised cross-lingual speech representation learning at scale","A Babu, C Wang, A Tjandra, K Lakhotia, Q Xu - arXiv preprint arXiv , 2021 - arxiv.org"
"Image super-resolution via iterative refinement","C Saharia, J Ho, W Chan, T Salimans -  on Pattern Analysis , 2022 - ieeexplore.ieee.org"
"Cvt: Introducing convolutions to vision transformers","H Wu, B Xiao, N Codella, M Liu, X Dai - Proceedings of the , 2021 - openaccess.thecvf.com"
"Vivit: A video vision transformer","A Arnab, M Dehghani, G Heigold - Proceedings of the , 2021 - openaccess.thecvf.com"
"Scaling language-image pre-training via masking","Y Li, H Fan, R Hu - Proceedings of the , 2023 - openaccess.thecvf.com"
"A review on the attention mechanism of deep learning","Z Niu, G Zhong, H Yu - Neurocomputing, 2021 - Elsevier"
"Styleclip: Text-driven manipulation of stylegan imagery","O Patashnik, Z Wu, E Shechtman - Proceedings of the , 2021 - openaccess.thecvf.com"
"Going deeper with image transformers","H Touvron, M Cord, A Sablayrolles - Proceedings of the , 2021 - openaccess.thecvf.com"
"SpeechBrain: A general-purpose speech toolkit","M Ravanelli, T Parcollet, P Plantinga, A Rouhe - arXiv preprint arXiv , 2021 - arxiv.org"
"Maskgit: Masked generative image transformer","H Chang, H Zhang, L Jiang, C Liu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Crossvit: Cross-attention multi-scale vision transformer for image classification","CFR Chen, Q Fan, R Panda - Proceedings of the IEEE/CVF , 2021 - openaccess.thecvf.com"
"Swin transformer: Hierarchical vision transformer using shifted windows","Z Liu, Y Lin, Y Cao, H Hu, Y Wei - Proceedings of the , 2021 - openaccess.thecvf.com"
"ChatGPT and other large language models are double-edged swords","Y Shen, L Heacock, J Elias, KD Hentel, B Reig, G Shih - Radiology, 2023 - pubs.rsna.org"
"Clipcap: Clip prefix for image captioning","R Mokady, A Hertz, AH Bermano - arXiv preprint arXiv:2111.09734, 2021 - arxiv.org"
"Transformer tracking","X Chen, B Yan, J Zhu, D Wang - Proceedings of the , 2021 - openaccess.thecvf.com"
"Vision transformers for dense prediction","R Ranftl, A Bochkovskiy - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Learning inverse folding from millions of predicted structures","C Hsu, R Verkuil, J Liu, Z Lin, B Hie - International , 2022 - proceedings.mlr.press"
"Dynamicvit: Efficient vision transformers with dynamic token sparsification","Y Rao, W Zhao, B Liu, J Lu, J Zhou - Advances in neural , 2021 - proceedings.neurips.cc"
"[HTML][HTML] Skilful precipitation nowcasting using deep generative models of radar","S Ravuri, K Lenc, M Willson, D Kangin, R Lam - Nature, 2021 - nature.com"
"LoFTR: Detector-free local feature matching with transformers","J Sun, Z Shen, Y Wang, H Bao - Proceedings of the , 2021 - openaccess.thecvf.com"
"Are transformers more robust than cnns?","Y Bai, J Mei, AL Yuille, C Xie - Advances in neural , 2021 - proceedings.neurips.cc"
"Mixformer: End-to-end tracking with iterative mixed attention","Y Cui, C Jiang, L Wang, G Wu - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"Learning nonlinear operators via DeepONet based on the universal approximation theorem of operators","L Lu, P Jin, G Pang, Z Zhang - Nature machine , 2021 - nature.com"
"Unetr: Transformers for 3d medical image segmentation","A Hatamizadeh, Y Tang, V Nath - Proceedings of the , 2022 - openaccess.thecvf.com"
"A survey of quantization methods for efficient neural network inference","A Gholami, S Kim, Z Dong, Z Yao - Low-Power Computer , 2022 - taylorfrancis.com"
"Debertav3: Improving deberta using electra-style pre-training with gradient-disentangled embedding sharing","P He, J Gao, W Chen - arXiv preprint arXiv:2111.09543, 2021 - arxiv.org"
"Convit: Improving vision transformers with soft convolutional inductive biases","S d'Ascoli, H Touvron, ML Leavitt - International , 2021 - proceedings.mlr.press"
"Image super-resolution with non-local sparse attention","Y Mei, Y Fan, Y Zhou -  of the IEEE/CVF Conference on , 2021 - openaccess.thecvf.com"
"SpectralFormer: Rethinking hyperspectral image classification with transformers","D Hong, Z Han, J Yao, L Gao, B Zhang -  on Geoscience and , 2021 - ieeexplore.ieee.org"
"[HTML][HTML] ProtGPT2 is a deep unsupervised language model for protein design","N Ferruz, S Schmidt, B Höcker - Nature communications, 2022 - nature.com"
"Conformer: Local features coupling global representations for visual recognition","Z Peng, W Huang, S Gu, L Xie - Proceedings of the , 2021 - openaccess.thecvf.com"
"Attention bottlenecks for multimodal fusion","A Nagrani, S Yang, A Arnab, A Jansen - Advances in , 2021 - proceedings.neurips.cc"
"Stratified transformer for 3d point cloud segmentation","X Lai, J Liu, L Jiang, L Wang, H Zhao - Proceedings of the , 2022 - openaccess.thecvf.com"
"Hornet: Efficient high-order spatial interactions with recursive gated convolutions","Y Rao, W Zhao, Y Tang, J Zhou - Advances in Neural , 2022 - proceedings.neurips.cc"
"A survey of modern deep learning based object detection models","SSA Zaidi, MS Ansari, A Aslam, N Kanwal - Digital Signal , 2022 - Elsevier"
"Detr3d: 3d object detection from multi-view images via 3d-to-2d queries","Y Wang, VC Guizilini, T Zhang -  on Robot Learning, 2022 - proceedings.mlr.press"
"Mobile-former: Bridging mobilenet and transformer","Y Chen, X Dai, D Chen, M Liu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Structured denoising diffusion models in discrete state-spaces","J Austin, DD Johnson, J Ho, D Tarlow - Advances in , 2021 - proceedings.neurips.cc"
"Transformer in transformer","K Han, A Xiao, E Wu, J Guo, C Xu - Advances in Neural , 2021 - proceedings.neurips.cc"
"Learning spatio-temporal transformer for visual tracking","B Yan, H Peng, J Fu, D Wang - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Frozen in time: A joint video and image encoder for end-to-end retrieval","M Bain, A Nagrani, G Varol - Proceedings of the , 2021 - openaccess.thecvf.com"
"Rethinking spatial dimensions of vision transformers","B Heo, S Yun, D Han, S Chun - Proceedings of the , 2021 - openaccess.thecvf.com"
